iter	Logloss
0	0.6749189015
1	0.6528650504
2	0.6310557058
3	0.6106949792
4	0.5949400897
5	0.5758848873
6	0.5581538696
7	0.541043736
8	0.524419753
9	0.5081172386
10	0.4934167082
11	0.4818605845
12	0.4675484366
13	0.4569613277
14	0.4440524273
15	0.4318388424
16	0.4201937626
17	0.4090927407
18	0.4008918457
19	0.3909674542
20	0.3827420785
21	0.3731856297
22	0.3639807138
23	0.3549612602
24	0.3470356837
25	0.3397060117
26	0.3336588902
27	0.3265663534
28	0.3208818041
29	0.3140324759
30	0.3089393091
31	0.3027138863
32	0.2976372527
33	0.2915952005
34	0.2873762188
35	0.2823486885
36	0.2783361902
37	0.2733007704
38	0.2696757168
39	0.2651717163
40	0.2608767989
41	0.2564824949
42	0.2530819995
43	0.2491048993
44	0.2452017299
45	0.2416920033
46	0.2382898799
47	0.2349402895
48	0.2318471262
49	0.2287421035
50	0.2255119074
51	0.2232720551
52	0.2210160925
53	0.2189861035
54	0.2161214566
55	0.2136201263
56	0.2109078121
57	0.2085660693
58	0.2061035837
59	0.203682118
60	0.2013711842
61	0.1993758162
62	0.1972263335
63	0.1951213285
64	0.1931022078
65	0.1913455238
66	0.1894555434
67	0.1880774125
68	0.1863346693
69	0.1847274543
70	0.183053955
71	0.1814651443
72	0.1801231201
73	0.17857744
74	0.1774653678
75	0.1762787908
76	0.1750925208
77	0.173749202
78	0.1723966529
79	0.1711376794
80	0.1699333166
81	0.1689420246
82	0.1679504868
83	0.1667611433
84	0.165700251
85	0.1646082825
86	0.1634566523
87	0.1625925918
88	0.1619672992
89	0.16101367
90	0.1602440172
91	0.1596045647
92	0.1588204684
93	0.1579219753
94	0.157026805
95	0.1561483185
96	0.1553172036
97	0.1546566922
98	0.1540253667
99	0.1532304681
100	0.1524587151
101	0.1518812258
102	0.151204213
103	0.1504998507
104	0.1500174891
105	0.1492704845
106	0.1485929904
107	0.1480010751
108	0.1475072216
109	0.1468109317
110	0.1462286951
111	0.1458035051
112	0.1451973405
113	0.1446533932
114	0.1442054795
115	0.1438019352
116	0.1432639979
117	0.1428010799
118	0.1423933413
119	0.1419276591
120	0.1415010994
121	0.1410082782
122	0.1405874212
123	0.1401957864
124	0.139772265
125	0.1394617939
126	0.1391025378
127	0.1387390245
128	0.1384048016
129	0.1379651136
130	0.1374489567
131	0.1371182796
132	0.136645909
133	0.1361988039
134	0.1358371408
135	0.1354144962
136	0.1349539123
137	0.134667161
138	0.1343251727
139	0.1340632408
140	0.1337863338
141	0.1333963133
142	0.1330676937
143	0.1327567137
144	0.1325122894
145	0.1321956246
146	0.1319339969
147	0.1315931042
148	0.1313386608
149	0.1309659462
150	0.1306845819
151	0.1303798844
152	0.1300398627
153	0.1297492488
154	0.1295057162
155	0.1292859205
156	0.1290035876
157	0.1287744756
158	0.1285563556
159	0.1282047961
160	0.1279722843
161	0.127739498
162	0.127403672
163	0.1270975023
164	0.126884009
165	0.1266377359
166	0.1263796423
167	0.1261755806
168	0.1258526878
169	0.1256013577
170	0.1253566893
171	0.1251586635
172	0.1248877843
173	0.1246131153
174	0.1243125333
175	0.1241191146
176	0.1238768499
177	0.1235545707
178	0.1233279879
179	0.1230614611
180	0.1228805227
181	0.1226877629
182	0.1224730494
183	0.1222725112
184	0.1220625712
185	0.1218947126
186	0.1216680357
187	0.1214578769
188	0.1212782347
189	0.1210306965
190	0.1207483716
191	0.1205715465
192	0.1203807237
193	0.1202274001
194	0.1200465568
195	0.1198318141
196	0.1195866278
197	0.1193784339
198	0.1192344072
199	0.1190379382
200	0.1188484092
201	0.118687853
202	0.1185547632
203	0.1183908816
204	0.118244459
205	0.1180872338
206	0.1178996326
207	0.1177701842
208	0.1176182714
209	0.1174929516
210	0.1173256524
211	0.1171851289
212	0.1170525214
213	0.1168890272
214	0.1167793775
215	0.1165802864
216	0.1164140759
217	0.1162647282
218	0.1160811158
219	0.1159355021
220	0.1158278768
221	0.1157005981
222	0.1155141962
223	0.1153548305
224	0.1151687939
225	0.1149659029
226	0.1147951384
227	0.1146381249
228	0.1145009457
229	0.1143386587
230	0.1142172129
231	0.114122051
232	0.11398827
233	0.1137907671
234	0.1136752754
235	0.1135232259
236	0.1133814468
237	0.1132814672
238	0.1131002418
239	0.1129965693
240	0.1129035438
241	0.1127344309
242	0.1125910892
243	0.1124992423
244	0.1123812361
245	0.1122394988
246	0.112100679
247	0.1120025509
248	0.1118919182
249	0.1117585064
250	0.1116433764
251	0.1114998008
252	0.111416547
253	0.1112620599
254	0.1111753817
255	0.1110529804
256	0.1109751439
257	0.1108320606
258	0.110683534
259	0.1105836627
260	0.1104994354
261	0.1103896568
262	0.1102566814
263	0.1101444056
264	0.110023835
265	0.109877294
266	0.1097555922
267	0.1096349363
268	0.1095363216
269	0.1094078759
270	0.1093276515
271	0.1091944563
272	0.1090929282
273	0.1089966562
274	0.1089104191
275	0.1088400937
276	0.1086979881
277	0.1085921639
278	0.108484603
279	0.1083614612
280	0.1082571982
281	0.1081728826
282	0.1080374044
283	0.1079401639
284	0.1078856019
285	0.1077898985
286	0.1075980646
287	0.1074952136
288	0.1073816319
289	0.1073074811
290	0.1072338562
291	0.1071389468
292	0.1070304365
293	0.1069584068
294	0.1068733238
295	0.1067450119
296	0.106644337
297	0.1065022565
298	0.1064165408
299	0.1063046237
300	0.1062233565
301	0.1061122778
302	0.1060374443
303	0.105929823
304	0.1058388736
305	0.1057632154
306	0.1056419149
307	0.1055604566
308	0.1054817414
309	0.1053826662
310	0.1052993518
311	0.1051743189
312	0.1051018133
313	0.105048762
314	0.1049377519
315	0.1048679786
316	0.1047360843
317	0.1046561619
318	0.1045704104
319	0.1044843613
320	0.1043984253
321	0.1043184805
322	0.1042026211
323	0.1041141487
324	0.1040375101
325	0.1039508979
326	0.1038672509
327	0.103809853
328	0.1037117577
329	0.1036246134
330	0.1035366096
331	0.1034338795
332	0.1033704243
333	0.1032979185
334	0.1032141117
335	0.1031416776
336	0.1030690044
337	0.1029759684
338	0.1028842454
339	0.1028428707
340	0.1027849597
341	0.1027141112
342	0.1026606144
343	0.1025737732
344	0.102492389
345	0.1023955118
346	0.1023053293
347	0.102221912
348	0.102151203
349	0.1020866059
350	0.102012179
351	0.1019205437
352	0.1018473934
353	0.1017970985
354	0.1017265427
355	0.101642822
356	0.1015406008
357	0.1014753636
358	0.1014001216
359	0.1013322503
360	0.1012577334
361	0.1011928115
362	0.1011003459
363	0.1010177115
364	0.1009468438
365	0.1008790241
366	0.1008213124
367	0.1007421905
368	0.1006819845
369	0.100615243
370	0.100520314
371	0.10044218
372	0.1003524933
373	0.1002802506
374	0.1001933581
375	0.1001216056
376	0.1000601932
377	0.1000018416
378	0.09992733287
379	0.09987705615
380	0.09982807506
381	0.09975523201
382	0.09969809941
383	0.0996458072
384	0.09958452387
385	0.09953257113
386	0.09947040362
387	0.09940838885
388	0.09934073498
389	0.09925915536
390	0.09919714197
391	0.09913071686
392	0.09908115943
393	0.09900918648
394	0.09894118234
395	0.09888883764
396	0.0988414511
397	0.09876981685
398	0.09871967075
399	0.09866600885
400	0.09861264845
401	0.09855220431
402	0.09848836301
403	0.09840498826
404	0.09832056589
405	0.09825860335
406	0.09818303833
407	0.09810526027
408	0.09804706623
409	0.09798004467
410	0.09790936947
411	0.09784580545
412	0.09777303122
413	0.09772759019
414	0.097662296
415	0.09761197294
416	0.09756057839
417	0.09750694052
418	0.09743791067
419	0.0973757959
420	0.09728036449
421	0.09720416531
422	0.09716295136
423	0.09711423637
424	0.09705313068
425	0.09698227288
426	0.09694232858
427	0.09689711504
428	0.09684408703
429	0.09679488669
430	0.09675016144
431	0.09669990906
432	0.09665141856
433	0.09658972371
434	0.09652081671
435	0.09645520835
436	0.09640312745
437	0.0963276626
438	0.09628906337
439	0.09622836877
440	0.09619695877
441	0.09614046254
442	0.09609365451
443	0.09604540894
444	0.09598812255
445	0.09591821154
446	0.09586457814
447	0.09581581488
448	0.09576883348
449	0.09571903284
450	0.0956728556
451	0.09562065109
452	0.0955588484
453	0.09550201265
454	0.09545330737
455	0.09539286734
456	0.09535345963
457	0.09531347426
458	0.0952585341
459	0.09521939235
460	0.09517207314
461	0.0951302263
462	0.09507282112
463	0.09501885669
464	0.09497634964
465	0.09492739151
466	0.09488763282
467	0.09482987867
468	0.09477407747
469	0.09471694177
470	0.09466030409
471	0.09462470516
472	0.09458358197
473	0.094534498
474	0.09448328735
475	0.09444782226
476	0.09441306086
477	0.0943646169
478	0.09432002119
479	0.09428388548
480	0.0942446748
481	0.09419637053
482	0.09412524562
483	0.09407882416
484	0.09404204213
485	0.09395028402
486	0.09390064266
487	0.0938438612
488	0.0937916709
489	0.09374102897
490	0.09370875871
491	0.09366362927
492	0.09361637654
493	0.09357152612
494	0.09350901212
495	0.09346789174
496	0.09342498776
497	0.09338445523
498	0.09332749721
499	0.09326994198
500	0.09322348241
501	0.09317764685
502	0.09312525061
503	0.09309055564
504	0.09304503853
505	0.09299805372
506	0.09294487318
507	0.09288507091
508	0.09284389533
509	0.09279362719
510	0.09275325571
511	0.09271981909
512	0.0926714473
513	0.09264148676
514	0.09258242355
515	0.09254829055
516	0.09250291278
517	0.09245674601
518	0.09242804857
519	0.09238008122
520	0.09233065749
521	0.09228872522
522	0.09224401481
523	0.09220034053
524	0.0921534082
525	0.0921040482
526	0.09205506867
527	0.09201215995
528	0.09197638105
529	0.09194509801
530	0.09189202448
531	0.09184325588
532	0.09179951126
533	0.09174936136
534	0.0916949583
535	0.09166443079
536	0.09162219045
537	0.09158153387
538	0.09154220329
539	0.09149950881
540	0.09145360101
541	0.09141626169
542	0.09137371632
543	0.09133321906
544	0.09129209564
545	0.09125790928
546	0.0912250093
547	0.09115429075
548	0.09110955194
549	0.09106856139
550	0.09103110988
551	0.0909890919
552	0.09094242343
553	0.09090385102
554	0.09085422723
555	0.09082155752
556	0.09078625159
557	0.09075021246
558	0.0906975228
559	0.09065535889
560	0.09059408872
561	0.09054655097
562	0.09051008516
563	0.09046202385
564	0.09042348528
565	0.09038800618
566	0.09034373431
567	0.09027499342
568	0.09024872028
569	0.09021333817
570	0.09017910351
571	0.09014168108
572	0.09010883916
573	0.09007367441
574	0.09004062011
575	0.08998642038
576	0.08995028099
577	0.08990315132
578	0.08985615664
579	0.08980512662
580	0.08975550537
581	0.08971310889
582	0.08967919545
583	0.08963661755
584	0.08957558872
585	0.08950480782
586	0.08946716583
587	0.08943478571
588	0.0893948955
589	0.08935809287
590	0.08933605443
591	0.08929888578
592	0.08927209458
593	0.08922854469
594	0.08920362306
595	0.08916344328
596	0.08913085088
597	0.08909475506
598	0.08904671999
599	0.08900121975
600	0.08896529639
601	0.08892305866
602	0.08888609383
603	0.08884968257
604	0.08881185476
605	0.08878398618
606	0.08873954344
607	0.0886910889
608	0.08864859247
609	0.08861905539
610	0.08858522085
611	0.08854851657
612	0.08851543844
613	0.08847774056
614	0.08843578776
615	0.0883750684
616	0.08833430014
617	0.08828943758
618	0.08824960359
619	0.08821031313
620	0.0881817034
621	0.08814480876
622	0.08814456291
623	0.08810601096
624	0.08806450951
625	0.08803414425
626	0.08800268549
627	0.08797186596
628	0.08793279932
629	0.0878915365
630	0.08785878775
631	0.08781223652
632	0.08778792506
633	0.08776459632
634	0.0877320708
635	0.08769694786
636	0.08766167059
637	0.08763802898
638	0.08759642028
639	0.08757007585
640	0.08753976422
641	0.08750661437
642	0.08746571785
643	0.08743279282
644	0.08737578966
645	0.08734463402
646	0.0873433038
647	0.08731256181
648	0.08728390848
649	0.08724267229
650	0.08720498766
651	0.08715874911
652	0.0871196046
653	0.08709432799
654	0.08705608371
655	0.08702322752
656	0.08699143508
657	0.08695884072
658	0.08691482356
659	0.0868875018
660	0.08686289132
661	0.08683143181
662	0.0867974698
663	0.08674812336
664	0.08670332963
665	0.08666889779
666	0.08661728971
667	0.08658040067
668	0.08655492057
669	0.08652226235
670	0.08648666264
671	0.0864498552
672	0.08640844802
673	0.08637810873
674	0.08632926607
675	0.08628145297
676	0.08625459834
677	0.08622354543
678	0.08619474888
679	0.08616043213
680	0.08611081586
681	0.08607364349
682	0.08604279346
683	0.0860010477
684	0.08597419707
685	0.08594929774
686	0.08591551656
687	0.08588520592
688	0.0858520411
689	0.08582841539
690	0.0857974385
691	0.08577113966
692	0.08571587861
693	0.08568645782
694	0.08565835796
695	0.08562783828
696	0.08560172865
697	0.08557290248
698	0.08554222155
699	0.08550491672
700	0.0854781593
701	0.08544045559
702	0.08541557723
703	0.08539395965
704	0.08537005113
705	0.08534160025
706	0.08531410172
707	0.08528135611
708	0.08525163608
709	0.08521776453
710	0.08518938763
711	0.08515627893
712	0.0851344534
713	0.08510056395
714	0.08506489759
715	0.08503576848
716	0.08500414295
717	0.08496038204
718	0.08491838495
719	0.08488223533
720	0.08485044209
721	0.0848275839
722	0.08479570235
723	0.08477761758
724	0.08474720011
725	0.08472445254
726	0.08469511617
727	0.08466350015
728	0.08461827949
729	0.08458888515
730	0.08455529499
731	0.08452637702
732	0.08449802466
733	0.08446665249
734	0.08443934977
735	0.08441207334
736	0.08437909214
737	0.08434294155
738	0.08431727497
739	0.08428914218
740	0.08426510644
741	0.08423763821
742	0.08420939511
743	0.08417862529
744	0.08415452448
745	0.08413158903
746	0.08410374368
747	0.08407300756
748	0.08403422835
749	0.08401424498
750	0.08399171566
751	0.08395803727
